metric_id,metric_name,metric_category,metric_type,data_provider
'20129999999901,any_critical_controversy,Controversy Metrics,boolean,Clarity.ai
'20129999999904,controv_access_to_basic_services,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_accounting_and_taxation,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_animal_welfare,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_animal_welfare_sc,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_anticompetitive_practices,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_bribery_and_corruption,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_bribery_and_corruption_sc,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_business_ethics,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_business_ethics_sc,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_carbon_impact_of_products,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_community_relations,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_community_relations_sc,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_corporate_governance,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_data_privacy_and_security,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_emissions_effluents_and_waste,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_emissions_effluents_and_waste_sc,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_employees_human_rights,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_employees_human_rights_sc,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_energy_use_and_ghg_emissions,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_energy_use_and_ghg_emissions_sc,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_environmental_impact_of_products,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_intellectual_property,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_labour_relations,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_labour_relations_sc,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_land_use_and_biodiversity,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_land_use_and_biodiversity_sc,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_lobbying_and_public_policy,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_marketing_practices,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_media_ethics,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_occupational_health_and_safety,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_occupational_health_and_safety_sc,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_quality_and_safety,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_sanctions,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_social_impact_of_products,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_society_human_rights,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_society_human_rights_sc,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_water_use,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_water_use_sc,Controversy Metrics,float,Clarity.ai
'20129999999904,controv_weapons,Controversy Metrics,float,Clarity.ai
'20129999999901,critical_controv_access_to_basic_services,Controversy Metrics,boolean,Clarity.ai
'20129999999901,critical_controv_accounting_and_taxation,Controversy Metrics,boolean,Clarity.ai
