metric_id,metric_name,metric_category,metric_type,data_provider
339,minexp_agrochemical_products_part,Expousure Metrics,float64,Clarity.ai
340,maxexp_agrochemical_products_part,Expousure Metrics,float64,Clarity.ai
341,exp_agrochemical_products_prod,Expousure Metrics,bool,Clarity.ai
342,minexp_agrochemical_products_prod,Expousure Metrics,float64,Clarity.ai
343,maxexp_agrochemical_products_prod,Expousure Metrics,float64,Clarity.ai
344,exp_alcohol_part,Expousure Metrics,bool,Clarity.ai
345,minexp_alcohol_part,Expousure Metrics,float64,Clarity.ai
346,maxexp_alcohol_part,Expousure Metrics,float64,Clarity.ai
347,exp_alchol_prod,Expousure Metrics,bool,Clarity.ai
348,minexp_alchol_prod,Expousure Metrics,float64,Clarity.ai
349,maxexp_alchol_prod,Expousure Metrics,float64,Clarity.ai
350,exp_animal_testing_part,Expousure Metrics,bool,Clarity.ai
351,minexp_animal_testing_part,Expousure Metrics,float64,Clarity.ai
352,maxexp_animal_testing_part,Expousure Metrics,float64,Clarity.ai
353,exp_animal_testing_cosmetic_part,Expousure Metrics,bool,Clarity.ai
354,minexp_animal_testing_cosmetic_part,Expousure Metrics,float64,Clarity.ai
355,maxexp_animal_testing_cosmetic_part,Expousure Metrics,float64,Clarity.ai
356,exp_antip_landmines_part,Expousure Metrics,bool,Clarity.ai
357,minexp_antip_landmines_part,Expousure Metrics,float64,Clarity.ai
358,maxexp_antip_landmines_part,Expousure Metrics,float64,Clarity.ai
359,exp_armament_part,Expousure Metrics,bool,Clarity.ai
360,minexp_armament_part,Expousure Metrics,float64,Clarity.ai
361,maxexp_armament_part,Expousure Metrics,float64,Clarity.ai
362,exp_armament_prod,Expousure Metrics,bool,Clarity.ai
363,minexp_armament_prod,Expousure Metrics,float64,Clarity.ai
364,maxexp_armament_prod,Expousure Metrics,float64,Clarity.ai
365,exp_chemic_biolog_weapons_part,Expousure Metrics,bool,Clarity.ai
366,minexp_chemic_biolog_weapons_part,Expousure Metrics,float64,Clarity.ai
367,maxexp_chemic_biolog_weapons_part,Expousure Metrics,float64,Clarity.ai
368,exp_cluster_bombs_part,Expousure Metrics,bool,Clarity.ai
369,minexp_cluster_bombs_part,Expousure Metrics,float64,Clarity.ai
370,maxexp_cluster_bombs_part,Expousure Metrics,float64,Clarity.ai
371,exp_coal_mining_part,Expousure Metrics,bool,Clarity.ai
372,minexp_coal_mining_part,Expousure Metrics,float64,Clarity.ai
373,maxexp_coal_mining_part,Expousure Metrics,float64,Clarity.ai
374,exp_coal_mining_prod,Expousure Metrics,bool,Clarity.ai
375,minexp_coal_mining_prod,Expousure Metrics,float64,Clarity.ai
376,maxexp_coal_mining_prod,Expousure Metrics,float64,Clarity.ai
377,exp_coal_power_gen_part,Expousure Metrics,bool,Clarity.ai
378,minexp_coal_power_gen_part,Expousure Metrics,float64,Clarity.ai
379,maxexp_coal_power_gen_part,Expousure Metrics,float64,Clarity.ai
380,exp_coal_power_gen_prod,Expousure Metrics,bool,Clarity.ai
381,minexp_coal_power_gen_prod,Expousure Metrics,float64,Clarity.ai
382,maxexp_coal_power_gen_prod,Expousure Metrics,float64,Clarity.ai
383,exp_contraceptives_part,Expousure Metrics,bool,Clarity.ai
384,minexp_contraceptives_part,Expousure Metrics,float64,Clarity.ai
385,maxexp_contraceptives_part,Expousure Metrics,float64,Clarity.ai
386,exp_depleted_uranium_part,Expousure Metrics,bool,Clarity.ai
387,minexp_depleted_uranium_part,Expousure Metrics,float64,Clarity.ai
388,maxexp_depleted_uranium_part,Expousure Metrics,float64,Clarity.ai
389,exp_embryonic_stem_cell_research_part,Expousure Metrics,bool,Clarity.ai
390,minexp_embryonic_stem_cell_research_part,Expousure Metrics,float64,Clarity.ai
391,maxexp_embryonic_stem_cell_research_part,Expousure Metrics,float64,Clarity.ai
392,exp_fossil_fuels_part,Expousure Metrics,bool,Clarity.ai
393,minexp_fossil_fuels_part,Expousure Metrics,float64,Clarity.ai
394,maxexp_fossil_fuels_part,Expousure Metrics,float64,Clarity.ai
395,exp_fossil_fuels_prod,Expousure Metrics,bool,Clarity.ai
396,minexp_fossil_fuels_prod,Expousure Metrics,float64,Clarity.ai
397,maxexp_fossil_fuels_prod,Expousure Metrics,float64,Clarity.ai
398,exp_fur_exotic_leather_part,Expousure Metrics,bool,Clarity.ai
399,minexp_fur_exotic_leather_part,Expousure Metrics,float64,Clarity.ai
400,maxexp_fur_exotic_leather_part,Expousure Metrics,float64,Clarity.ai
401,exp_gambling_part,Expousure Metrics,bool,Clarity.ai
402,minexp_gambling_part,Expousure Metrics,float64,Clarity.ai
403,maxexp_gambling_part,Expousure Metrics,float64,Clarity.ai
404,exp_gambling_prod,Expousure Metrics,bool,Clarity.ai
405,minexp_gambling_prod,Expousure Metrics,float64,Clarity.ai
406,maxexp_gambling_prod,Expousure Metrics,float64,Clarity.ai
407,exp_gmo_products_part,Expousure Metrics,bool,Clarity.ai
408,minexp_gmo_products_part,Expousure Metrics,float64,Clarity.ai
409,maxexp_gmo_products_part,Expousure Metrics,float64,Clarity.ai
410,exp_gmo_research_part,Expousure Metrics,bool,Clarity.ai
411,minexp_gmo_research_part,Expousure Metrics,float64,Clarity.ai
412,maxexp_gmo_research_part,Expousure Metrics,float64,Clarity.ai
413,exp_meat_products_part,Expousure Metrics,bool,Clarity.ai
414,minexp_meat_products_part,Expousure Metrics,float64,Clarity.ai
415,maxexp_meat_products_part,Expousure Metrics,float64,Clarity.ai
416,exp_meat_products_prod,Expousure Metrics,bool,Clarity.ai
417,minexp_meat_products_prod,Expousure Metrics,float64,Clarity.ai
418,maxexp_meat_products_prod,Expousure Metrics,float64,Clarity.ai
419,exp_cannabis_part,Expousure Metrics,bool,Clarity.ai
420,minexp_cannabis_part,Expousure Metrics,float64,Clarity.ai
421,maxexp_cannabis_part,Expousure Metrics,float64,Clarity.ai
422,exp_nuclear_energy_part,Expousure Metrics,bool,Clarity.ai
423,minexp_nuclear_energy_part,Expousure Metrics,float64,Clarity.ai
424,maxexp_nuclear_energy_part,Expousure Metrics,float64,Clarity.ai
425,exp_nuclear_energy_prod,Expousure Metrics,bool,Clarity.ai
426,minexp_nuclear_energy_prod,Expousure Metrics,float64,Clarity.ai
427,maxexp_nuclear_energy_prod,Expousure Metrics,float64,Clarity.ai
428,exp_nuclear_weapons_part,Expousure Metrics,bool,Clarity.ai
429,minexp_nuclear_weapons_part,Expousure Metrics,float64,Clarity.ai
430,maxexp_nuclear_weapons_part,Expousure Metrics,float64,Clarity.ai
431,exp_oil_sands_part,Expousure Metrics,bool,Clarity.ai
432,minexp_oil_sands_part,Expousure Metrics,float64,Clarity.ai
