permid,isin,issuer_name,str_001_s,str_002_ec,str_003_ec,str_004_asec,str_005_ec,cs_001_sec,gp_esccp,cs_003_sec,cs_002_ec,str_006_sec,str_007_sect,gp_esccp_22,gp_esccp_25,gp_esccp_30,art_8_basicos,str_003b_ec,new_exclusion,exclusion_list
4295860490,CA761389AE53,Revenue Properties Co Ltd,,,,EXCLUDED,,EXCLUDED,,EXCLUDED,,,EXCLUDED,,,,,,True,"['str_004_asec', 'cs_001_sec', 'cs_003_sec', 'str_007_sect']"
4295862667,CA7631021002,Richards Packaging Income Fund,,,,OK,,OK,,,,,OK,,,,,,False,[]
4297642932,CA76635PAA53,Ridley Grain Ltd,,,,,,,,EXCLUDED,,,,,,,,,True,['cs_003_sec']
5000052113,US88145X1081,Territorial Bancorp Inc,,,,OK,,OK,,,,,OK,,,,,,False,[]
4297278188,US881452AA46,TerreStar Networks Inc,EXCLUDED,,,,,,,,,EXCLUDED,,,,,,,True,"['str_001_s', 'str_006_sec']"
4295908212,US9026731029,UFP Technologies Inc,,,,,,,,EXCLUDED,,,,,,,,,True,['cs_003_sec']
4296132257,US893290AA47,Trans Ocean Container Corp,,,,EXCLUDED,,EXCLUDED,,EXCLUDED,,,EXCLUDED,,,,,,True,"['str_004_asec', 'cs_001_sec', 'cs_003_sec', 'str_007_sect']"
4298009647,US9027371056,HealthMarkets Inc,,,,OK,,OK,,,,,OK,,,,,,False,[]
5000271346,US89655NAA81,Trinity Rail Leasing IV LP,,,,,,,,EXCLUDED,,,,,,,,,True,['cs_003_sec']
5037629064,US89679E3009,Triumph Financial Inc,,,,,,,,OK,,,,,,,,,False,[]
4295908187,US8960951064,Trico Bancshares,,,,,,,,OK,,,,,,,,,False,[]
4295878237,US90114T1007,TV Asahi Holdings Corp,EXCLUDED,,,,,,,,,,,,,,,,True,['str_001_s']
4295905125,US893934AB55,NGL TM LLC,OK,,,,,,,,,,,,,,,,False,[]
5039923452,US90265Y1064,UCP Inc,,,,OK,,OK,,OK,,,OK,,,,,,False,[]
4295915225,US9000101090,MEGTEC TurboSonic Technologies Inc,,,,,,,,EXCLUDED,,,,,,,,,True,['cs_003_sec']
4295904972,US8542311076,Standex International Corp,,,,,,,,OK,,,,,,,,,False,[]
5037638008,US85917WAA09,Sterling Bancorp Inc,,,,OK,,OK,,,,,OK,,,,,,False,[]
4295904970,US8536661056,Standard Motor Products Inc,,,,,,,,OK,,,,,,,,,False,[]
4295887474,US8526901066,Stamford Land Corporation Ltd,OK,,,OK,,OK,,OK,,OK,OK,,,,,,False,[]
4296494851,US8660061099,Summit Bancorp Akron Ohio,,,,EXCLUDED,,EXCLUDED,,EXCLUDED,,,EXCLUDED,,,,,,True,"['str_004_asec', 'cs_001_sec', 'cs_003_sec', 'str_007_sect']"
4295900604,US8603261079,Stewardship Financial Corp,,,,,,,,OK,,,,,,,,,False,[]
4298509251,US86181Q3002,Stonegate Mortgage Corp,,,,EXCLUDED,,EXCLUDED,,,,,EXCLUDED,,,,,,True,"['str_004_asec', 'cs_001_sec', 'str_007_sect']"
4295916172,US8347281078,Somerset Hills Bancorp,,,,,,,,EXCLUDED,,,,,,,,,True,['cs_003_sec']
4295907954,US83568G1040,Fujifilm Sonosite Inc,,,,OK,,OK,,OK,,,OK,,,,,,False,[]
4295907951,US8354601069,Sonic Solutions,,,,EXCLUDED,,EXCLUDED,,EXCLUDED,,,EXCLUDED,,,,,,True,"['str_004_asec', 'cs_001_sec', 'cs_003_sec', 'str_007_sect']"
4297023247,US83570H1086,Sonos Inc,,,,,,,,OK,,,,,,,,,False,[]
5000010475,US84338SAR67,Southern Missouri Bank of Marshfield (Pre-merger),OK,,,,,,,,,,,,,,,,False,[]
4296530942,US842634AF44,Southern Company Capital Funding Inc,,,,EXCLUDED,,EXCLUDED,,EXCLUDED,,,EXCLUDED,,,,,,True,"['str_004_asec', 'cs_001_sec', 'cs_003_sec', 'str_007_sect']"
4295908093,US8723861071,TESSCO Technologies Inc,OK,,,OK,,OK,,,,OK,OK,,,,,,False,[]
4296716971,US849416AC61,Yale Industrial Products Inc,,,,,,,,EXCLUDED,,,,,,,,,True,['cs_003_sec']
5035437665,US8493431089,Sprague Resources LP,,,,,,OK,,OK,,,,,,,,,False,[]
4295907056,US87968A1043,Tellurian Inc,,,,,,OK,,,,,,,,,,,False,[]
5000480402,US8794551031,Telenav Inc,OK,,,OK,,OK,,,,,OK,,,,,,False,[]
5000649939,US87219RGP38,TBK Bank SSB,,,,OK,,OK,,,,,OK,,,,,,False,[]
4296388866,US8730531022,TTS Inc,EXCLUDED,,,EXCLUDED,,EXCLUDED,,,,EXCLUDED,EXCLUDED,,,,,,True,"['str_001_s', 'str_004_asec', 'cs_001_sec', 'str_006_sec', 'str_007_sect']"
